Common_name,Scientific_name,
Abaca (Manila hemp),Musa textilis,
Alfalfa for fodder,Medicago sativa,
Alfalfa for seed,Medicago sativa,
Almond,Prunus dulcis,
Anise seeds,Pimpinella anisum,
Apple,Malus sylvestris,
Apricot,Prunus armeniaca,
Areca (betel nut),Areca catechu,
Arracha,Arracacia xanthorrhiza,
Arrowroot,Maranta arundinacea,
Artichoke,Cynara scolymus,
Asparagus,Asparagus officinalis,
Avocado,Persea americana,
Bajra (Pearl millet),Pennisetum americanum,
Bambara groundnut,Vigna subterranea,
Banana,Musa paradisiaca,
Barley,Hordeum vulgare,
"Beans, dry, edible, for grains",Phaseolus vulgaris,
"Beans, harvested green",Phaseolus and Vigna spp.,
"Beet, fodder (mangel)",Beta vulgaris,
"Beet, red",Beta vulgaris,
"Beet, sugar",Beta vulgaris,
"Beet, sugar for fodder",Beta vulgaris,
"Beet, sugar for seeds",Beta vulgaris,
Bergamot,Citrus bergamia,
Betel nut,Areca catechu,
Black pepper,Piper nigrum,
Black wattle,Acacia mearnsii,
Blackberries of various species,Rubus spp.,
Blueberry,Vaccinium spp.,
Brazil nut,Bertholletia excelsa,
Breadfruit,Artocarpus altilis,
"Broad bean, dry",Vicia faba,
"Broad bean, harvested green",Vicia faba,
Broccoli,Brassica oleracea var. botrytis,
Broom millet,Sorghum bicolor,
Broom sorghum,Sorghum bicolor,
Brussels sprouts,Brassica oleracea var. gemmifera,
Buckwheat,Fagopyrum esculentum,
"Cabbage (red, white, Savoy)",Brassica oleracea var. capitata,
"Cabbage, Chinese",Brassica chinensis,
"Cabbage, for fodder",Brassica spp.,
Cacao (cocoa),Theobroma cacao,
Cantaloupe,Cucumis melo,
Caraway seeds,Carum carvi,
Cardamom,Elettaria cardamomum,
Cardoon,Cynara cardunculus,
Carob,Ceratonia siliqua,
"Carrot, edible",Daucus carota ssp. sativa,
"Carrot, for fodder",Daucus carota ssp. sativa,
Cashew nuts,Anacardium occidentale,
Cassava (manioc),Manihot esculenta,
Castor bean,Ricinus communis,
Cauliflower,Brassica oleracea var. botrytis,
Celeriac,Apium graveolens var. rapaceum,
Celery,Apium graveolens,
Chayote,Sechium edule,
Cherry (all varieties),Prunus spp.,
Chestnut,Castanea sativa,
Chickpea (gram pea),Cicer arietinum,
Chicory,Cichorium intybus,
Chicory for greens,Cichorium intybus,
"Chili, dry  (all varieties)",Capsicum spp. (annuum),
"Chili, fresh (all varieties)",Capsicum spp. (annuum),
Cinnamon,Cinnamomum verum,
Citron,Citrus medica,
Citronella,Cymbopogon citrates/ Cymbopogon nardus,
Clementine,Citrus reticulata,
Clove,Eugenia aromatica (Syzygium aromaticum),
Clover for fodder (all varieties),Trifolium spp.,
Clover for seed (all varieties),Trifolium spp.,
Cocoa (cacao),Theobroma cacao,
Coconut,Cocos nucifera,
Cocoyam,Colocasia esculenta,
Coffee,Coffea spp.,
Cola nut (all varieties),Cola acuminata,
Colza (rapeseed),Brassica napus,
"Corn (maize), for cereals",Zea mays,
"Corn (maize), for silage",Zea mays,
"Corn (sweet), for vegetable",Zea mays,
Corn for salad,Valerianella locusta,
Cotton (all varieties),Gossypium spp.,
Cottonseed (all varieties),Gossypium spp.,
"Cowpea, for grain",Vigna unguiculata,
"Cowpea, harvested green",Vigna unguiculata,
Cranberry,Vaccinium spp.,
Cress,Lepidium sativum,
Cucumber,Cucumis sativus,
Currants (all varieties),Ribes spp.,
Custard apple,Annona reticulate,
Dasheen,Colocasia esculenta,
Dates,Phoenix dactylifera,
Drumstick tree,Moringa oleifera,
Durra (sorghum),Sorghum bicolour,
Durum wheat,Triticum durum,
Earth pea,Vigna subterranea,
Edo (eddoe),Xanthosoma spp.; Colocasia spp.,
Eggplant,Solanum melongena,
Endive,Cichorium endivia,
Fennel,Foeniculum vulgare,
Fenugreek,Trigonella foenum-graecum,
Fig,Ficus carica,
Filbert (Hazelnut),Corylus avellana,
Fique,Furcraea macrophylla,
Flax for fibre,Linum usitatissimum,
Flax for oil seed (linseed),Linum usitatissimum,
Formio (New Zealand flax),Phormium tenax,
"Garlic, dry",Allium sativum,
"Garlic, green",Allium sativum,
Geranium,Pelargonium spp.; Geranium spp.,
Ginger,Zingiber officinale,
Gooseberry (all varieties),Ribes spp.,
Gourd,Lagenaria spp; Cucurbita spp.,
Gram pea (chickpea),Cicer arietinum,
Grape,Vitis vinifera,
Grapefruit,Citrus paradisi,
Grapes for raisins,Vitis vinifera,
Grapes for table use,Vitis vinifera,
Grapes for wine,Vitis vinifera,
Grass esparto,Lygeum spartum,
"Grass, orchard",Dactylis glomerata,
"Grass, Sudan",Sorghum bicolor var. sudanense,
Groundnut (peanut),Arachis hypogaea,
Guava,Psidium guajava,
Guinea corn (sorghum),Sorghum bicolor,
Hazelnut (filbert),Corylus avellana,
Hemp fibre,Cannabis sativa ssp. indica,
"Hemp, Manila (abaca)",Musa textilis,
"Hemp, sun",Crotalaria juncea,
Hempseed,Cannabis sativa (marijuana),
Henequen,Agave fourcroydes,
Henna,Lawsonia inermis,
Hop,Humulus lupulus,
Horse bean,Vicia faba,
Horseradish,Armoracia rusticana,
Hybrid maize,Zea mays,
Indigo,Indigofera tinctoria,
Jasmine,Jasminum spp.,
Jerusalem artichoke,Helianthus tuberosus,
Jowar (sorghum),Sorghum bicolor,
Jute,Corchorus spp. (over 30 sp.),
Kale,Brassica oleracea var. acephala,
Kapok,Ceiba pentandra,
Kenaf,Hibiscus cannabinus,
Kohlrabi,Brassica oleracea var. gongylodes,
Lavender,Lavandula spp. (over 15 sp.),
Leek,Allium ampeloprasum; Allium porrum,
Lemon,Citrus limon,
Lemon grass,Cymbopogon citratus,
Lentil,Lens culinaris,
Lespedeza (all varieties),Lespedeza spp.,
Lettuce,Lactuca sativa var. capitata,
"Lime, sour",Citrus aurantifolia,
"Lime, sweet",Citrus limetta,
Linseed (flax for oil seed),Linum usitatissimum,
Liquorice,Glycyrrhiza glabra,
Litchi,Litchi chinensis,
Loquat,Eriobotrya japonica,
Lupine (all varieties),Lupinus spp.,
Macadamia (Queensland nut),Macadamia spp. ternifolia,
Mace,Myristica fragrans,
Maguey,Agave atrovirens,
Maize (corn),Zea mays,
Maize (corn) for silage,Zea mays,
Maize (hybrid),Zea mays,
"Maize, ordinary",Zea mays,
Mandarin,Citrus reticulata,
Mangel (fodder beet),Beta vulgaris,
Mango,Mangifera indica,
Manioc (cassava),Manihot esculenta,
Maslin (mixed cereals),Mixture of Triticum spp.; Secale cereale,
Medlar,Mespilus germanica,
Melon (except watermelon),Cucumis melo,
Millet broom,Sorghum bicolor,
"Millet, bajra",Pennisetum americanum,
"Millet, bulrush",Pennisetum americanum,
"Millet, finger",Eleusine coracana,
"Millet, foxtail",Setaria italica,
"Millet, Japanese",Echinochloa esculenta,
"Millet, pearl (bajra, bulrush)",Pennisetum americanum,
"Millet, proso",Panicum miliaceum,
Mint (all varieties),Mentha spp.,
Mulberry for fruit (all varieties),Morus spp.,
Mulberry for silkworms,Morus alba,
Mushrooms,Agaricus spp.; Pleurotus spp.; Volvariella,
Mustard,Brassica nigra; Sinapis alba,
Nectarine,Prunus persica var. nectarina,
New Zealand flax (formio),Phormium tenax,
Niger seed,Guizotia abyssinica,
Nutmeg,Myristica fragrans,
"Oats, for fodder",Avena spp. (about 30 sp.),
"Oats, for grain",Avena spp. (about 30 sp.),
Oil palm,Elaeis guineensis,
Okra,Abelmoschus esculentus,
Olive,Olea europaea,
Onion seed,Allium cepa,
"Onion, dry",Allium cepa,
"Onion, green",Allium cepa,
Opium,Papaver somniferum,
Orange,Citrus sinensis,
"Orange, bitter",Citrus aurantium,
Ornamental plants,Various,
Palm palmyra,Borassus flabellifer,
"Palm, kernel oil",Elaeis guineensis,
"Palm, oil",Elaeis guineensis,
"Palm, sago",Metroxylon sagu,
Papaya (pawpaw),Carica papaya,
Parsnip,Pastinaca sativa,
"Pea, edible dry, for grain",Pisum sativum,
"Pea, harvested green",Pisum sativum,
Peach,Prunus persica,
Peanut (groundnut),Arachis hypogaea,
Pear,Pyrus communis,
Pecan nut,Carya illinoensis,
"Pepper, black",Piper nigrum,
"Pepper, dry",Capsicum spp. (over 30 sp.),
Persimmon,Diospyros kaki; Diospyros virginiana,
Pigeon pea,Cajanus cajan,
Pineapple,Ananas comosus,
Pistachio nut,Pistacia vera,
Plantain,Musa sapientum,
Plum,Prunus domestica,
Pomegranate,Punica granatum,
Pomelo,Citrus grandis,
Poppy seed,Papaver somniferum,
Potato,Solamum tuberosum,
"Potato, sweet",Ipomoea batatas,
Prune,Prunus domestica,
"Pumpkin, edible",Cucurbita spp. (over 25 sp.),
"Pumpkin, for fodder",Cucurbita spp. (over 25 sp.),
Pyrethum,Chrysanthemum cinerariaefolium,
Quebracho,Aspidosperma spp. (more than 3 sp.),
Queensland nut,See Macadamia,
Quince,Cydonia oblonga,
Quinine,Cinchona spp. (more than 6 sp.),
Quinoa,Chenopodium quinoa,
Radish,Raphanus sativus (inc. Cochlearia armoracia),
Ramie,Boehmeria nivea,
Rapeseed (colza),Brassica napus,
Raspberry (all varieties),Rubus spp. (over 360 sp.),
Red beet,Beta vulgaris,
Redtop,Agrostis spp.,
Rhea,Boehmeria nivea,
Rhubarb,Rheum spp.,
Rice,Oryza sativa; Oryza glaberrima,
Rose,Rose spp.,
Rubber,Hevea brasiliensis,
Rutabaga (swede),Brassica napus var. napobrassica,
Rye,Secale cereale,
Ryegrass seed,Lolium spp. (about 20 sp.),
Safflower,Carthamus tinctorius,
Sainfoin,Onobrychis viciifolia,
Salsify,Tragopogon porrifolius,
Sapodilla,Achras sapota,
Satsuma (mandarin/tangerine),Citrus reticulata,
Scorzonera – black salsify,Scorzonera hispanica,
Sesame,Sesamum indicum,
Shea butter (nut),Vitellaria paradoxa,
Sisal,Agave sisalana,
Sorghum,Sorghum bicolor,
"Sorghum, broom",Sorghum bicolor,
"Sorghum, durra",Sorghum bicolor,
"Sorghum, Guinea corn",Sorghum bicolor,
"Sorghum, jowar",Sorghum bicolor,
"Sorghum, sweet",Sorghum bicolor,
Soybean,Glycine max,
Soybean hay,Glycine max,
Spelt wheat,Triticum spelta,
Spinach,Spinacia oleracea,
Squash,Cucurbita spp. (over 25 sp.),
Strawberry,Fragaria spp. (over 30 sp.),
Sugar beet,Beta vulgaris,
Sugar beet for fodder,Beta vulgaris,
Sugar beet for seed,Beta vulgaris,
Sugarcane for fodder,Saccharum officinarum,
Sugarcane for sugar or alcohol,Saccharum officinarum,
Sugarcane for thatching,Saccharum officinarum,
Sunflower for fodder,Helianthus annuus,
Sunflower for oil seed,Helianthus annuus,
Sunhemp,Crotalaria juncea,
Swede,Brassica napus var. napobrassica,
Swede for fodder,Brassica napus var. napobrassica,
Sweet corn,Zea mays,
Sweet lime,Citrus limetta,
Sweet pepper,Capsicum annuum,
Sweet potato,Lopmoea batatas,
Sweet sorghum,Sorghum bicolor,
Tangerine,Citrus reticulata,
Tannia,Xanthosoma sagittifolium,
Tapioca (cassava),Manihot esculenta,
Taro,Colocasia esculenta,
Tea,Camellia sinensis,
Tef,Eragrostis abyssinica,
Timothy,Phleum pratense,
Tobacco,Nicotiana tabacum,
Tomato,Lycopersicon esculentum,
Trefoil,Lotus spp. (about 100 sp.),
Triticale for fodder,Hybrid of Triticum aestivum and Secale cereale,
Tung tree,Aleurites spp.; Fordii,
"Turnip, edible",Brassica rapa,
"Turnip, for fodder",Brassica rapa,
Urena (Congo jute),Urena lobata,
Vanilla,Vanilla planifolia,
Vetch for grain,Vicia sativa,
Walnut,"Juglans spp. (over 20 sp.), ep. regia",
Watermelon,Citrullus lanatus,
Wheat,Triticum aestivum,
Yam,Dioscorea spp. (over 120 sp.),
Yerba mate,Ilex paraguariensis,
